param_n_estimators,mean_test_score,rank_test_score
20,0.6705752326834575,10
40,0.6805999390983853,8
60,0.678702564793549,9
80,0.694301003602771,1
100,0.6849797037227857,5
120,0.6819170917492587,7
140,0.6854222466374604,4
160,0.6834603111311732,6
180,0.690754600225735,3
200,0.6910479798532811,2
