mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.004999876022338867,0.0006327876127145257,0.006000709533691406,0.0008942030794429947,euclidean,1,"{'metric': 'euclidean', 'n_neighbors': 1}",-0.4203660173649826,-0.7370600927005755,-0.8207063722117554,-0.6212604699678734,-0.048773364599615565,-0.5296332633689604,0.2754307762400036,100
0.004970932006835937,0.0008957186509612192,0.006000614166259766,0.0016710092440402387,euclidean,2,"{'metric': 'euclidean', 'n_neighbors': 2}",0.03210454817398978,-0.21249786125470504,-0.40444940548478314,-0.27086281778097976,0.12485529321121447,-0.14617004862705274,0.19590429263760925,98
0.004000043869018555,0.0006326366009591597,0.005581378936767578,0.000767563175411377,euclidean,3,"{'metric': 'euclidean', 'n_neighbors': 3}",0.06346967660721259,0.05134892058248863,-0.23478852088457103,-0.17402497595095556,0.08098671546510883,-0.042601636836143306,0.13383557379392033,96
0.0038004398345947267,0.0007482139871206068,0.005113124847412109,0.00022626076407360746,euclidean,4,"{'metric': 'euclidean', 'n_neighbors': 4}",0.022987573392372673,0.07487814765155798,-0.10111226220838088,-0.2204177298293286,0.13899708028418278,-0.01693343814191921,0.12870843982366195,91
0.004196310043334961,0.0009758932038516283,0.005244302749633789,0.00038738273623416063,euclidean,5,"{'metric': 'euclidean', 'n_neighbors': 5}",0.0466005766892158,0.0740577600238721,-0.11952269722294129,-0.10511071918639225,0.18040094927359462,0.015285173915469796,0.11346049867467681,89
0.004000043869018555,0.0008944165332613462,0.005800008773803711,0.0011654030085836635,euclidean,6,"{'metric': 'euclidean', 'n_neighbors': 6}",0.06712702409965832,0.04578935173470278,-0.12754390102923607,-0.0861891886911017,0.13355989379698507,0.006548635982201678,0.09790050776034957,90
0.005894231796264649,0.0018974513964707172,0.007833003997802734,0.0014223750546353332,euclidean,7,"{'metric': 'euclidean', 'n_neighbors': 7}",0.0805236562496564,0.09736065328165344,-0.09473149613671428,-0.027017549294401588,0.15625249311030232,0.04247755144209926,0.09062040617214537,75
0.005400323867797851,0.0004893799431159233,0.005999374389648438,0.000632939522450487,euclidean,8,"{'metric': 'euclidean', 'n_neighbors': 8}",0.12814156818815992,0.12517513302856975,-0.11139999820600588,0.0019459253813592925,0.19878269956387284,0.06852906559119118,0.11003292156824784,38
0.0041999340057373045,0.0007488535207872579,0.00639948844909668,0.0008002047085829766,euclidean,9,"{'metric': 'euclidean', 'n_neighbors': 9}",0.1687176743629587,0.12655228045332234,-0.15107109943784747,0.002577334572203771,0.21496610183131815,0.0723484583563911,0.13217350783955092,32
0.0062006950378417965,0.002039394633619215,0.00639958381652832,0.0008000387624205109,euclidean,10,"{'metric': 'euclidean', 'n_neighbors': 10}",0.16727835761850995,0.1262275620957667,-0.08825987184707196,-0.010890461030122145,0.19152934192440363,0.07717698575229723,0.10837518779595318,26
