mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07220263481140136,0.00719341781249436,0.008596706390380859,0.0008003362963944944,20,{'n_estimators': 20},0.6115449431750978,0.6571292202786809,0.6747220448563973,0.7032296777219265,0.6855695344279993,0.6664390840920204,0.03126713808442446,9
0.15765981674194335,0.006855981351251326,0.01692652702331543,0.003678825898109924,40,{'n_estimators': 40},0.6171152365034398,0.6634123497649684,0.6726020878280421,0.7106013360888643,0.6585930863069214,0.6644648192984473,0.029907728940790915,10
0.28387956619262694,0.0259159143455296,0.02756528854370117,0.0029675754048531706,60,{'n_estimators': 60},0.6041378627640939,0.6930390689471495,0.717993888099307,0.7489984672909851,0.6594327948258019,0.6847204163854674,0.0498818674085732,7
0.29164533615112304,0.011844696704155583,0.02559947967529297,0.00120040093719363,80,{'n_estimators': 80},0.6262936914282069,0.6900282745786173,0.691826436339033,0.7556155890867418,0.6699263087295221,0.6867380600324242,0.04175401243391854,3
0.365140438079834,0.013482532655475218,0.03380088806152344,0.001827622374371352,100,{'n_estimators': 100},0.6185882827361846,0.6755256674411643,0.7057964974982429,0.7367146028040614,0.6898889562984839,0.6853028013556275,0.03906562957159213,5
0.43527650833129883,0.055292700586969244,0.03753385543823242,0.003378291399818361,120,{'n_estimators': 120},0.6092230415845772,0.6985929976294691,0.7073876108819344,0.7308897867563161,0.6799313578667852,0.6852049589438163,0.04137505469004214,6
0.5219090461730957,0.038554171785339666,0.04480071067810058,0.004167096713292339,140,{'n_estimators': 140},0.6152281915647411,0.6898380003032505,0.6968708483881182,0.7367557618363586,0.6757951004592564,0.682897580510345,0.0394302339860647,8
0.5368885517120361,0.02821600351172934,0.047231531143188475,0.0030285282739886425,160,{'n_estimators': 160},0.6305217308366674,0.6850419653315252,0.6990426233135255,0.7533030110423408,0.6720421788843844,0.6879903018816886,0.039883770535001827,2
0.5995150566101074,0.05718874603330111,0.051999235153198244,0.007183404202469212,180,{'n_estimators': 180},0.6265312726258282,0.6840071247113927,0.6980424552790573,0.7466059569274475,0.6734848090573737,0.6857343237202198,0.03876823678363882,4
0.737522554397583,0.04518753121127329,0.0610011100769043,0.006389077771187239,200,{'n_estimators': 200},0.6310048122774403,0.6877439184679766,0.7009059456422753,0.746818561171194,0.6753056736848981,0.6883557822487569,0.037510576076630324,1
