ARS-ID,정류소명
01728,정독도서관
01729,오거리.한옥마을입구
01732,평창공원지킴터입구
01763,종로1가
01776,종로도서관
01790,종로사우나
01791,엄마분식
01792,삼청파출소
01793,통인시장.종로구보건소
01794,종로5가역
01795,평창동산림제3초소
01796,배화여중고
01797,대학로입구.이화사거리
01798,운현궁
01799,상명대입구
01800,삼청동주민센터
01801,박노수미술관
01802,김창열.윤명로화실
01803,사직동주민센터
01804,충신시장
01805,안국역2번출구앞
01807,금융연수원
01809,감람산기도원
01810,카센터.터널앞
01812,재동초등학교
01814,삼청공원삼거리.옥호정터
01815,이화사거리
01816,연화정사
01817,대신중고
01819,현대사거리
01820,교남동주민센터
01821,부암동주민센터.무계원
01823,형제봉입구
01824,교남동새마을금고
01825,창신초교
01826,가회동주민센터
01827,볼링장
01829,부암슈퍼
01830,지구촌교회
01831,월암공원
01832,숭인1동주민센터
01833,북촌한옥마을입구.정세권활동터
01835,하림각
01836,보현빌라
01837,스위스대사관
01839,안국선원.삼거리
01840,세검정교회
01841,혜화동로터리
01842,김종영미술관
01843,서울시교육청
01844,창신쌍용1단지.종로센트레빌아파트
01845,사우디대사관
01846,상명대입구
01847,혜화초등학교
01849,강북삼성병원
01850,청룡사.보문파크뷰자이아파트
01851,감사원
01852,국민생활관
01855,종로센트레빌후문.e편한세상보문아파트
01856,통일부
01858,서울국제고등학교
01860,성대후문.와룡공원
01861,상명초등학교
01862,새마을금고
01863,경진빌라
01864,명륜시장.성대후문
01865,완성빌라
01866,양현관
01868,상명대후문
01869,샘미용실
01870,산정빌라
01872,구기빌라
01873,마트앞
01874,국민은행.세검정지점
01876,혜화역4번출구
01877,방송통신대앞
01878,서울대치과대학
01879,효제초교.연동교회.김마리아활동터
01881,성균관대학교
01882,독립문역
01883,서울대치과대학
01886,이화사거리
01887,서울대학교병원현관.암병원현관
01888,종각.공평유적전시관
01889,조계사
01902,대학로
01903,창경궁
01904,창덕궁
01905,인사동.북촌
01906,경복궁.국립민속박물관
01907,세종문화회관
01910,통인시장
01911,세종문화회관
01912,종각역
01913,인사동.탑골공원
01914,종묘.세운상가
01915,광장시장
01916,동묘.숭인동도깨비시장
01917,서울풍물시장
01918,청와대
02001,남대문세무서.서울백병원
02002,서울백병원.국가인권위.안중근활동터
02003,서울역버스환승센터
02004,서울역버스환승센터
02005,서울역버스환승센터
02006,서울역버스환승센터
02007,서울역버스환승센터.강우규의거터
02008,숭례문
02099,숭례문(가상)
02100,서울시청
02101,만리동고개
02102,손기정체육공원입구
02103,서울의료보건고등학교.서울역서부
02104,서울역서부
02105,서울역서부
02106,중림동교차로
02107,종근당.충정로역
02108,한국경제신문사.서소문역사공원
02109,한국경제신문사.서소문역사공원
02110,경찰청.동북아역사재단
02113,서대문경찰서.농협은행.유관순활동터
02116,염천교
02117,숭례문
02118,숭례문.한국일보
02120,후암삼거리
02121,숭례문
02122,숭례문
02123,숭례문
02124,남대문시장악세사리전문상가
02125,숭례문남산방향
02126,남대문시장
